Name,observatory_level,aviation_level,date
Dukono,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Fuego,unavailable or not collected,unavailable or not collected Source,2025-12-16
Great Sitkin,Watch,Orange,2025-12-16
Ibu,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Kīlauea,Watch,Orange,2025-12-16
Kanlaon,2 - Moderate Level of Volcanic Unrest,unavailable or not collected Source,2025-12-16
Lewotobi,Level 3 - Standby,unavailable or not collected Source,2025-12-16
Lewotolok,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Marapi,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Merapi,Level 3 - Standby,unavailable or not collected Source,2025-12-16
Popocatépetl,Yellow Alert - Phase 2,unavailable or not collected Source,2025-12-16
Poás,Level 2 - Warning,Yellow,2025-12-16
Puracé,Orange,unavailable or not collected Source,2025-12-16
Raung,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Reventador,3 - Orange,unavailable or not collected Source,2025-12-16
Sabancaya,Orange,unavailable or not collected Source,2025-12-16
Sangay,2 - Yellow,unavailable or not collected Source,2025-12-16
Semeru,Level 3 - Standby,unavailable or not collected Source,2025-12-16
Taal,1 - Low-Level Unrest,unavailable or not collected Source,2025-12-16
Awu,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Bur ni Telong,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Iliwerung,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Karangetang,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Kerinci,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Lokon-Empung,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Mayon,1 - Abnormal,unavailable or not collected Source,2025-12-16
Rincón de la Vieja,Level 2 - Warning,Yellow,2025-12-16
Sangeang Api,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Shishaldin,Advisory,Yellow,2025-12-16
Soputan,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Talang,Level 2 - Alert,unavailable or not collected Source,2025-12-16
Turrialba,Level 2 - Warning,unavailable or not collected Source,2025-12-16
