id,Volcano_Number,Volcano_Name,Volcanic_Landform,Primary_Volcano_Type,Last_Eruption_Year,Country,Region,Subregion,Geological_Summary,Latitude,Longitude,Elevation,Tectonic_Setting,Geologic_Epoch,Evidence_Category,Primary_Photo_Link,Primary_Photo_Caption,Primary_Photo_Credit,Major_Rock_Type,x_coordinate,y_coordinate,source,buffer_km,geom_buffer
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_1bf,261080,Sinabung,Composite,Stratovolcano,2021.0,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,"Gunung Sinabung is a Pleistocene-to-Holocene stratovolcano with many lava flows on its flanks. The migration of summit vents along a N-S line gives the summit crater complex an elongated form. The youngest crater of  this conical andesitic-to-dacitic edifice is at the southern end of the four overlapping summit craters. The youngest deposit is a SE-flank pyroclastic flow 14C dated by Hendrasto et al. (2012) at 740-880 CE. An unconfirmed eruption was noted in 1881, and solfataric activity was seen at the summit and upper flanks in 1912. No confirmed historical eruptions were recorded prior to explosive eruptions during August-September 2010 that produced ash plumes to 5 km above the summit.",3.17,98.392,2460,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-00530.jpg,"The Sinabung volcano, seen here from the E, rises above farmlands on the Karo Plateau. At the time of this photo Sinabung contained four summit craters, the southernmost of which was the youngest. Many prominent lava flows can be seen on the flanks of the volcano.","Photo by Tom Casadevall, 1987 (U.S. Geological Survey).",Andesite / Basaltic Andesite,98.392,3.17,unrest,30,"POLYGON ((98.66149458523584 3.17, 98.65631632234769 3.117503338570306, 98.64098053142202 3.0670216231074896, 98.61607655830367 3.0204952964292877, 98.58256144871332 2.9797129894258485, 98.541723169517 2.9462426852024315, 98.49513111288185 2.9213713531389, 98.44457578541525 2.9060553880706976, 98.39199999999998 2.900883772563527, 98.33942421458472 2.9060553880706976, 98.28886888711813 2.9213713531389, 98.24227683048298 2.9462426852024315, 98.20143855128666 2.9797129894258485, 98.16792344169629 3.0204952964292877, 98.14301946857796 3.0670216231074896, 98.12768367765227 3.117503338570306, 98.12250541476413 3.17, 98.12768367765227 3.222493997647255, 98.14301946857796 3.272968127309688, 98.16792344169629 3.319483101063535, 98.20143855128666 3.3602520164230993, 98.24227683048298 3.393708929049709, 98.28886888711813 3.4185689083025155, 98.33942421458472 3.4338772876839636, 98.39199999999998 3.4390462394557635, 98.44457578541525 3.4338772876839636, 98.49513111288185 3.4185689083025155, 98.541723169517 3.393708929049709, 98.58256144871332 3.3602520164230993, 98.61607655830367 3.319483101063535, 98.64098053142202 3.272968127309688, 98.65631632234769 3.222493997647255, 98.66149458523584 3.17))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_1c6,261170,Kerinci,Composite,Stratovolcano,2024.0,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,"Gunung Kerinci in central Sumatra forms Indonesia's highest volcano and is one of the most active in Sumatra. It is capped by an unvegetated young summit cone that was constructed NE of an older crater remnant. There is a deep 600-m-wide summit crater often partially filled by a small crater lake that lies on the NE crater floor, opposite the SW-rim summit. The massive 13 x 25 km wide volcano towers 2400-3300 m above surrounding plains and is elongated in a N-S direction. Frequently active, Kerinci has been the source of numerous moderate explosive eruptions since its first recorded eruption in 1838.",-1.697,101.264,3800,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-12030.jpg,The unvegetated summit of Gunung Kerinci in central Sumatra is seen here from Pengamatan on its southern flank. Kerinci is one of the most active volcanoes in Sumatra and has been the source of numerous moderate explosive eruptions since its first recorded eruption in 1838. The 13 x 25 km wide volcano rises above the surrounding plains.,"Photo by Umar Rosadi,  2005 (Centre of Volcanology & Geological Hazard Mitigation, Volcanological Survey of Indonesia).",Andesite / Basaltic Andesite,101.264,-1.697,unrest,30,"POLYGON ((101.53349458523586 -1.697, 101.5283163223477 -1.7495520049058577, 101.51298053142202 -1.800083077793194, 101.4880765583037 -1.8466515420382477, 101.45456144871332 -1.8874681398235058, 101.413723169517 -1.920964740998099, 101.36713111288186 -1.9458545364114477, 101.31657578541525 -1.9611814142961759, 101.264 -1.9663566359675222, 101.21142421458472 -1.9611814142961759, 101.16086888711814 -1.9458545364114477, 101.11427683048299 -1.920964740998099, 101.07343855128667 -1.8874681398235058, 101.0399234416963 -1.8466515420382477, 101.01501946857796 -1.800083077793194, 100.9996836776523 -1.7495520049058577, 100.99450541476415 -1.697, 100.9996836776523 -1.6444465670095056, 101.01501946857796 -1.5939114272866841, 101.0399234416963 -1.5473368766073738, 101.07343855128667 -1.5065130994067695, 101.11427683048299 -1.4730093188421298, 101.16086888711814 -1.448113437055603, 101.21142421458472 -1.4327824923964676, 101.264 -1.4276058426657843, 101.31657578541525 -1.4327824923964672, 101.36713111288186 -1.448113437055603, 101.413723169517 -1.4730093188421298, 101.45456144871332 -1.5065130994067695, 101.4880765583037 -1.5473368766073738, 101.51298053142202 -1.593911427286684, 101.5283163223477 -1.6444465670095052, 101.53349458523586 -1.697))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_1db,263180,Slamet,Composite,Stratovolcano,2014.0,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,"Slamet is one of Java's most active volcanoes. It has a cluster of about three dozen cinder cones on its lower SE-NE flanks and a single cinder cone on the W flank. It is composed of two overlapping edifices, an older basaltic andesite to andesitic volcano on the west and a younger basaltic to basaltic andesite one on the east. Gunung Malang II cinder cone on the upper E flank on the younger edifice fed a lava flow that extends 6 km E. Four craters occur at the summit of Gunung Slamet, with activity migrating to the SW over time. Eruptions recorded since the 18th century have originated from a 150-m-deep, 450-m-wide, steep-walled crater at the western part of the summit and have consisted of explosive eruptions generally lasting a few days to a few weeks.",-7.242,109.208,3428,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-06323.jpg,"The summit crater of Slamet, Java's second highest volcano at over 3.4 km elevation. Historical eruptions at Slamet have been recorded since the 18th century and have originated from a 150-m-deep, 450-m-wide, steep-walled crater (at the time of this photo). The eruptions have generally been explosive, lasting a few days to a few weeks.","Photo by I. Pratomo, 1990 (Volcanological Survey of Indonesia).",Basalt / Picro-Basalt,109.208,-7.242,unrest,30,"POLYGON ((109.47749458523586 -7.241999999999999, 109.47231632234771 -7.294153341581946, 109.45698053142203 -7.344296730022926, 109.4320765583037 -7.390504134514477, 109.39856144871332 -7.4310012896240565, 109.357723169517 -7.464233657903561, 109.31113111288187 -7.488925900542716, 109.26057578541527 -7.504130612868076, 109.20800000000001 -7.509264495953742, 109.15542421458474 -7.504130612868076, 109.10486888711814 -7.488925900542716, 109.058276830483 -7.464233657903561, 109.01743855128667 -7.4310012896240565, 108.9839234416963 -7.390504134514477, 108.95901946857798 -7.344296730022926, 108.9436836776523 -7.294153341581946, 108.93850541476415 -7.241999999999999, 108.9436836776523 -7.189840625197723, 108.95901946857798 -7.139680055621605, 108.9839234416963 -7.093446937807117, 109.01743855128667 -7.05291945186205, 109.058276830483 -7.019656752852014, 109.10486888711814 -6.994938797143301, 109.15542421458474 -6.97971690393619, 109.20800000000001 -6.974576987735148, 109.26057578541527 -6.97971690393619, 109.31113111288187 -6.994938797143301, 109.357723169517 -7.019656752852014, 109.39856144871332 -7.05291945186205, 109.4320765583037 -7.093446937807117, 109.45698053142203 -7.139680055621605, 109.47231632234771 -7.189840625197723, 109.47749458523586 -7.241999999999999))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_1dc,263200,Dieng Volcanic Complex,Composite,Complex,2025.0,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,"The Dieng plateau in the highlands of central Java is renowned both for the variety of its volcanic scenery and as a sacred area housing Java's oldest Hindu temples, dating back to the 9th century CE. The Dieng Volcanic Complex consists of multiple stratovolcanoes and more than 20 small Pleistocene-to-Holocene craters and cones over a 6 x 14 km area. Prahu stratovolcano was truncated by a large Pleistocene caldera, which was subsequently filled by a series of cones, lava domes, and craters, many containing lakes. Lava flows cover much of the plateau, but observed activity has been restricted to minor phreatic eruptions. Gas emissions are a hazard at several craters and have caused fatalities. There are abundant thermal features and high heat flow across the area.",-7.2,109.879,2565,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01074.jpg,"The Dieng volcanic complex, seen here from the SE, has numerous small craters and cones of Pleistocene-to-Holocene age over an area of 6 x 14 km. Minor phreatic eruptions have occurred in historical time, sometimes associated with hazardous gas emissions. The volcanic terrain of the Dieng plateau contains the oldest temples in Java.","Photo by Sumarma Hamidi, 1973 (Volcanological Survey of Indonesia).",Andesite / Basaltic Andesite,109.879,-7.2,unrest,30,"POLYGON ((110.14849458523585 -7.2, 110.1433163223477 -7.2521582030670695, 110.12798053142203 -7.302306298449074, 110.1030765583037 -7.34851806888999, 110.06956144871333 -7.389019072868164, 110.02872316951701 -7.422254615237099, 109.98213111288186 -7.4469492254276535, 109.93157578541528 -7.46215539949624, 109.879 -7.467289776808308, 109.82642421458475 -7.46215539949624, 109.77586888711814 -7.4469492254276535, 109.72927683048299 -7.422254615237099, 109.68843855128668 -7.389019072868164, 109.6549234416963 -7.34851806888999, 109.63001946857798 -7.302306298449074, 109.6146836776523 -7.2521582030670695, 109.60950541476414 -7.2, 109.6146836776523 -7.14783579796022, 109.63001946857798 -7.097670618971934, 109.6549234416963 -7.051433281169983, 109.68843855128668 -7.010902118529594, 109.72927683048299 -6.97763641760283, 109.77586888711814 -6.9529162403032405, 109.82642421458475 -6.937692982880375, 109.879 -6.932552606699979, 109.93157578541528 -6.937692982880375, 109.98213111288186 -6.9529162403032405, 110.02872316951701 -6.97763641760283, 110.06956144871333 -7.010902118529594, 110.1030765583037 -7.051433281169983, 110.12798053142203 -7.097670618971934, 110.1433163223477 -7.14783579796022, 110.14849458523585 -7.2))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_1e7,263310,Tengger Caldera,Composite,Stratovolcano(es),2023.0,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,"The 16-km-wide Tengger caldera is located at the northern end of a volcanic massif extending from Semeru volcano. The massive volcanic complex dates back to about 820,000 years ago and consists of five overlapping stratovolcanoes, each truncated by a caldera. Lava domes, pyroclastic cones, and a maar occupy the flanks of the massif. The Ngadisari caldera at the NE end of the complex formed about 150,000 years ago and is now drained through the Sapikerep valley. The most recent of the calderas is the 9 x 10 km wide Sandsea caldera at the SW end of the complex, which formed incrementally during the late Pleistocene and early Holocene. An overlapping cluster of post-caldera cones was constructed on the floor of the Sandsea caldera within the past several thousand years. The youngest of these is Bromo, one of Java's most active and most frequently visited volcanoes.",-7.942,112.95,2329,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01127.jpg,"Bromo volcano produces a gas-and-steam plume at the left in this view from the rim of Ngadisari caldera, the older of two Tengger calderas. Bromo and Batok in the lower center are two of several post-caldera cones within the caldera. The towering peak of Semeru appears in the background at the end of a N-S trending volcanic massif.",Photo courtesy of Volcanological Survey of Indonesia.,Trachyandesite / Basaltic Trachyandesite,112.95,-7.942,unrest,30,"POLYGON ((113.21949458523585 -7.942000000000002, 113.21431632234771 -7.994068193825529, 113.19898053142204 -8.044129170558797, 113.1740765583037 -8.090260158826077, 113.14056144871333 -8.1306899678211, 113.099723169517 -8.163866810741602, 113.05313111288186 -8.188517645015859, 113.00257578541526 -8.203696794886028, 112.95 -8.208822035690883, 112.89742421458475 -8.203696794886028, 112.84686888711813 -8.188517645015859, 112.800276830483 -8.163866810741602, 112.75943855128668 -8.1306899678211, 112.7259234416963 -8.090260158826077, 112.70101946857798 -8.044129170558797, 112.68568367765229 -7.994068193825529, 112.68050541476414 -7.942000000000002, 112.68568367765229 -7.889925204126048, 112.70101946857798 -7.839845426374339, 112.7259234416963 -7.793686300463092, 112.75943855128668 -7.7532233009596725, 112.800276830483 -7.72001326764518, 112.84686888711813 -7.695334296003144, 112.89742421458475 -7.680136345390718, 112.95 -7.675004502651845, 113.00257578541526 -7.680136345390718, 113.05313111288186 -7.695334296003144, 113.099723169517 -7.72001326764518, 113.14056144871333 -7.7532233009596725, 113.1740765583037 -7.793686300463092, 113.19898053142204 -7.839845426374339, 113.21431632234771 -7.889925204126048, 113.21949458523585 -7.942000000000002))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_213,267040,Awu,Composite,Stratovolcano,2004.0,Indonesia,Western Pacific Volcanic Regions,Sangihe Volcanic Arc,"The massive Gunung Awu stratovolcano occupies the northern end of Great Sangihe Island, the largest of the Sangihe arc. Deep valleys that form passageways for lahars dissect the flanks of the volcano, which was constructed within a 4.5-km-wide caldera. Powerful explosive eruptions in 1711, 1812, 1856, 1892, and 1966 produced devastating pyroclastic flows and lahars that caused more than 8000 cumulative fatalities. Awu contained a summit crater lake that was 1 km wide and 172 m deep in 1922, but was largely ejected during the 1966 eruption.",3.689,125.447,1318,Subduction zone / Oceanic crust (< 15 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-12023.jpg,"A shallow lake partially fills the summit crater of Awu volcano in this 1995 view.  Gunung Awu volcano, one of the deadliest in Indonesia, is cut by deep valleys that form passageways for lahars dissect the flanks of the 1320-m-high volcano.  Powerful explosive eruptions in 1711, 1812, 1856, 1892, and 1966 produced devastating pyroclastic flows and lahars that caused more than 8000 fatalities.  ","Photo by Kristianto, 1995 (Centre of Volcanology & Geological Hazard Mitigation, Volcanological Survey of Indonesia).",Andesite / Basaltic Andesite,125.447,3.689,unrest,30,"POLYGON ((125.71649458523585 3.6890000000000005, 125.7113163223477 3.6365316106518453, 125.69598053142201 3.586076671491634, 125.67107655830371 3.539574666578684, 125.63756144871334 3.498813397350422, 125.59672316951702 3.4653601626228543, 125.55013111288187 3.4405014000309584, 125.49957578541526 3.4251931267135047, 125.447 3.420024100044904, 125.39442421458475 3.4251931267135047, 125.34386888711813 3.4405014000309584, 125.29727683048299 3.4653601626228543, 125.25643855128666 3.498813397350422, 125.22292344169631 3.539574666578684, 125.19801946857797 3.586076671491634, 125.18268367765229 3.6365316106518453, 125.17750541476413 3.6890000000000005, 125.18268367765229 3.7414652916872, 125.19801946857797 3.7919114094672004, 125.22292344169631 3.838400212284461, 125.25643855128666 3.879145908629552, 125.29727683048299 3.9125835705286107, 125.34386888711813 3.937429131156783, 125.39442421458475 3.9527285832259933, 125.447 3.957894512288301, 125.49957578541526 3.9527285832259933, 125.55013111288187 3.937429131156783, 125.59672316951702 3.9125835705286107, 125.63756144871334 3.879145908629552, 125.67107655830371 3.838400212284461, 125.69598053142201 3.7919114094672004, 125.7113163223477 3.7414652916872, 125.71649458523585 3.6890000000000005))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_21f,268060,Gamalama,Composite,Stratovolcano(es),2018.0,Indonesia,Western Pacific Volcanic Regions,Halmahera Volcanic Arc,"Gamalama is a near-conical stratovolcano that comprises the entire island of Ternate off the western coast of Halmahera, and is one of Indonesia's most active volcanoes. The island was a major regional center in the Portuguese and Dutch spice trade for several centuries, which contributed to the extensive documentation of activity. Three cones, progressively younger to the north, form the summit. Several maars and vents define a rift zone, parallel to the Halmahera island arc, that cuts the volcano; the S-flank Ngade maar formed after about 14,500–13,000 cal. BP (Faral et al., 2022). Eruptions, recorded frequently since the 16th century, typically originated from the summit craters, although flank eruptions have occurred in 1763, 1770, 1775, and 1962-63.",0.81,127.3322,1714,Subduction zone / Oceanic crust (< 15 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-05821.jpg,"Gamalama (Peak of Ternate) is a near-conical stratovolcano that rises abruptly NW of the city of Ternate, the principal port of the renowned spice islands of northern Maluku.  Three cones, progressively younger to the north, form the summit of Gamalama.  Several maars and vents define a rift zone, parallel to the Halmahera island arc, that cuts the volcano.  Eruptions from Gamalama, one of the most active volcanoes in Indonesia, have been recorded since the 16th century.   ","Photo by Jack Lockwood, 1980 (U.S. Geological Survey).",Andesite / Basaltic Andesite,127.3322,0.81,unrest,30,"POLYGON ((127.60169458523583 0.81, 127.59651632234768 0.7574291347811457, 127.58118053142199 0.7068779364832303, 127.55627655830367 0.6602891971332611, 127.5227614487133 0.6194534654731673, 127.48192316951697 0.5859402105718725, 127.43533111288183 0.5610374851471558, 127.38477578541524 0.5457024095186039, 127.33219999999996 0.540524379273401, 127.2796242145847 0.5457024095186039, 127.2290688871181 0.5610374851471558, 127.18247683048295 0.5859402105718725, 127.14163855128666 0.6194534654731673, 127.10812344169626 0.6602891971332611, 127.08321946857795 0.7068779364832302, 127.06788367765228 0.7574291347811456, 127.06270541476412 0.81, 127.06788367765228 0.8625701832676929, 127.08321946857795 0.9131194395356277, 127.10812344169626 0.9597052724395841, 127.14163855128666 1.0005375757240205, 127.18247683048295 1.034047402261748, 127.2290688871181 1.0589472212696427, 127.2796242145847 1.0742803548974045, 127.33219999999996 1.0794577032035366, 127.38477578541524 1.0742803548974045, 127.43533111288183 1.058947221269643, 127.48192316951697 1.034047402261748, 127.5227614487133 1.0005375757240205, 127.55627655830367 0.9597052724395844, 127.58118053142199 0.9131194395356279, 127.59651632234768 0.8625701832676931, 127.60169458523583 0.81))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_22b,273010,Bulusan,Composite,Stratovolcano(es),2025.0,Philippines,Western Pacific Volcanic Regions,Eastern Philippine Volcanic Arc,"Luzon's southernmost volcano, Bulusan, was constructed along the rim of the 11-km-diameter dacitic-to-rhyolitic Irosin caldera, which was formed about 36,000 years ago. It lies at the SE end of the Bicol volcanic arc occupying the peninsula of the same name that forms the elongated SE tip of Luzon.  A broad, flat moat is located below the topographically prominent SW rim of Irosin caldera; the NE rim is buried by the andesitic complex. Bulusan is flanked by several other large intracaldera lava domes and cones, including the prominent Mount Jormajan lava dome on the SW flank and Sharp Peak to the NE. The summit is unvegetated and contains a 300-m-wide, 50-m-deep crater.  Three small craters are located on the SE flank.  Many moderate explosive eruptions have been recorded since the mid-19th century.",12.769,124.056,1535,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01758.jpg,"Bulusan, seen here from the W, is the southernmost volcano on the island of Luzon. It has formed within the 11-km-wide Irosin caldera along with other cones and domes. Frequent moderate explosive eruptions have been recorded since the mid-19th century from craters at the summit.","Photo by Chris Newhall, 1984 (U.S. Geological Survey).",Andesite / Basaltic Andesite,124.056,12.769,unrest,30,"POLYGON ((124.32549458523584 12.769, 124.3203163223477 12.717719268897993, 124.30498053142202 12.668399456248435, 124.28007655830368 12.622937604136235, 124.24656144871331 12.583083311957603, 124.20572316951699 12.550371115037473, 124.15913111288184 12.526061066378473, 124.10857578541525 12.511089871883808, 124.056 12.50603452204843, 124.00342421458473 12.511089871883808, 123.95286888711814 12.526061066378473, 123.906276830483 12.550371115037473, 123.86543855128667 12.583083311957601, 123.8319234416963 12.622937604136235, 123.80701946857796 12.668399456248435, 123.79168367765229 12.717719268897993, 123.78650541476414 12.769, 123.79168367765229 12.82027033174518, 123.80701946857796 12.869560529569688, 123.8319234416963 12.914978060068144, 123.86543855128667 12.954780071499098, 123.906276830483 12.987439987845168, 123.95286888711814 13.011705715309564, 124.00342421458473 13.02664729539833, 124.056 13.03169224605049, 124.10857578541525 13.02664729539833, 124.15913111288184 13.011705715309564, 124.20572316951699 12.987439987845168, 124.24656144871331 12.9547800714991, 124.28007655830368 12.914978060068144, 124.30498053142202 12.869560529569688, 124.3203163223477 12.82027033174518, 124.32549458523584 12.769))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_22c,273030,Mayon,Composite,Stratovolcano,2024.0,Philippines,Western Pacific Volcanic Regions,Eastern Philippine Volcanic Arc,"Symmetrical Mayon, which rises above the Albay Gulf NW of Legazpi City, is the most active volcano of the Philippines. The steep upper slopes are capped by a small summit crater. Recorded eruptions since 1616 CE range from Strombolian to basaltic Plinian, with cyclical activity beginning with basaltic eruptions, followed by longer periods of andesitic lava flows. Eruptions occur predominately from the central conduit and have also produced lava flows that travel far down the flanks. Pyroclastic density currents and mudflows have commonly swept down many of the approximately 40 ravines that radiate from the summit and have often damaged populated lowland areas. A violent eruption in 1814 killed more than 1,200 people and devastated several towns.",13.257,123.685,2462,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01777.jpg,"Mayon in SE Luzon is one of the most active volcanoes in the Philippines. It rises above the Albay Gulf and is the result of eruptions from a single central conduit. Frequent eruptions have been recorded since 1616 and have typically included powerful explosive activity accompanied by pyroclastic flows, lahars, and lava flows that descended to the lower flanks.","Photo by Kurt Fredrickson, 1968 (Smithsonian Institution).",Andesite / Basaltic Andesite,123.685,13.257,unrest,30,"POLYGON ((123.95449458523586 13.257, 123.94931632234771 13.205819915724089, 123.93398053142202 13.156596533504043, 123.90907655830371 13.111223249248908, 123.87556144871333 13.07144634825615, 123.83472316951703 13.038797497566508, 123.78813111288189 13.014534421795952, 123.73757578541527 12.999592111640755, 123.68500000000002 12.994546507720758, 123.63242421458473 12.999592111640755, 123.58186888711815 13.014534421795952, 123.535276830483 13.038797497566508, 123.49443855128668 13.071446348256146, 123.46092344169631 13.111223249248908, 123.43601946857798 13.156596533504043, 123.42068367765229 13.205819915724089, 123.41550541476414 13.257, 123.42068367765229 13.308169315682495, 123.43601946857798 13.357362031581797, 123.46092344169631 13.402689420551845, 123.49443855128668 13.442412184529923, 123.535276830483 13.475006898383807, 123.58186888711815 13.499224079301234, 123.63242421458473 13.514135723567648, 123.68500000000002 13.519170559073148, 123.73757578541527 13.514135723567648, 123.78813111288189 13.499224079301234, 123.83472316951703 13.475006898383807, 123.87556144871333 13.442412184529923, 123.90907655830371 13.402689420551845, 123.93398053142202 13.357362031581797, 123.94931632234771 13.308169315682495, 123.95449458523586 13.257))"
Smithsonian_VOTW_Holocene_Volcanoes.fid-66f9dc1b_199ec577a21_231,273070,Taal,Caldera,Caldera,2025.0,Philippines,Western Pacific Volcanic Regions,Luzon Volcanic Arc,"Taal is one of the most active volcanoes in the Philippines and has produced some powerful eruptions. The 15 x 20 km Talisay (Taal) caldera is largely filled by Lake Taal, whose 267 km2 surface lies only 3 m above sea level. The maximum depth of the lake is 160 m, with several submerged eruptive centers. The 5-km-wide Volcano Island in north-central Lake Taal is the location of all observed eruptions. The island is composed of coalescing small stratovolcanoes, tuff rings, and scoria cones. Powerful pyroclastic flows and surges have caused many fatalities.",14.0106,120.9975,311,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01888.jpg,"Taal caldera, seen here from its NW rim, is a 15 x 20 km caldera of Pleistocene and Holocene age. Volcano Island, in the north-central part of Lake Taal, is constructed of coalescing small tuff  and scoria cones. Powerful phreatomagmatic explosive eruptions from several locations on the 5-km-wide island have produced deadly pyroclastic surges.","Photo by Chris Newhall, 1978 (U.S. Geological Survey).",Andesite / Basaltic Andesite,120.9975,14.0106,unrest,30,"POLYGON ((121.26699458523584 14.010600000000002, 121.26181632234768 13.959582634111573, 121.24648053142201 13.91051518458146, 121.2215765583037 13.86528514592147, 121.1880614487133 13.825633435314407, 121.14722316951698 13.793087070456291, 121.10063111288186 13.768899999395297, 121.05007578541525 13.754004429418487, 120.99749999999999 13.748974596827175, 120.94492421458472 13.754004429418487, 120.89436888711813 13.768899999395297, 120.84777683048297 13.793087070456291, 120.80693855128666 13.825633435314407, 120.7734234416963 13.86528514592147, 120.74851946857795 13.91051518458146, 120.73318367765228 13.959582634111573, 120.72800541476413 14.010600000000002, 120.73318367765228 14.061606033273167, 120.74851946857795 14.110641210285944, 120.7734234416963 14.155822949822518, 120.80693855128666 14.195417687901577, 120.84777683048297 14.227907080418522, 120.89436888711813 14.252045852807175, 120.94492421458472 14.266909150717723, 120.99749999999999 14.27192765088062, 121.05007578541525 14.266909150717723, 121.10063111288186 14.252045852807175, 121.14722316951698 14.227907080418522, 121.1880614487133 14.19541768790158, 121.2215765583037 14.155822949822518, 121.24648053142201 14.110641210285944, 121.26181632234768 14.061606033273167, 121.26699458523584 14.010600000000002))"
