(GVP) Volcano number,Volcano Name,Country,Volcano Latitude,Volcano Longitude,Volcano Elevation,Volcano Type,Population VPI5,Population VPI 10,Population VPI30,Population VPI100,Island of radius <=~5 km?,Eruption Number,Eruption VEI,Eruption start year,Date of fatal incident,Year (Eruption start year if date not specified),Century,Incident number (XXXXX-X.X = eruption number-incident number.su,Incident number extension (-X.X = Incident number.Sub-incident ,Incident / sub-incident:   Fatalities separated into multiple i,Fatality information (existing fatality information from databa,Additional fatality information and notes on distance determina,Qualitative Number of fatalities,Number of fatalities,Fatal cause  ,"Victim classification:  (Emerg) = armed forces, emergency servi",Were fatalities clustered? (eg. All in one collapsed building?),Did fatality or fatal injury occur inside or outside?,Google Earth flag number (representing approximate location of ,Quality level,QL 1 distance (km),QL2 (max. km),QL2 range (km),Distance from eruptive vent if known to be different to summit,"References (new, [legacy])"
211010,Campi Flegrei,Italy,40.827,14.139,458,Caldera,2234109,2234109,3006865,6019697,N,10041,3,1538,,1538,1500s,10041-1.0,1.0,Multiple incidents separated due to different fatal cause,"Phreatic explosion at 2200 on Monte Nuovo eruption's 8th day.  Many people climbing the cone lost their footing in the dark, sliding to their deaths on loose stones.","Distance based on description ""climbing cone"". Cone is less than 1km across. Vent = Monte Nuovo.",Many,100,Indirect (Eruptive) - Falls,(tour) Climbers/tourists,,Outside,1,QL 1,4.4,,,<1,"[PHILLIPS, 1869 (220-24)]"
211010,Campi Flegrei,Italy,40.827,14.139,458,Caldera,2234109,2234109,3006865,6019697,N,10041,3,1538,,1538,1500s,10041-2.0,2.0,Multiple incidents separated due to different fatal cause,Volcanogenic earthquake: 3 killed by falling masonry and rocks in the collapse of houses.,-,,3,Seismicity,,,Inside - building collapsed,,QL 3,,,,,"[BULLARD, 1976 (378)]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13332,5,1631,,1631,1600s,13332-1.0,1.0,One incident,"Most of >4,000 fatalities caused by pyroclastic surges. Earlier accounts ascribe deaths to lava flows, mudflows and tephra falls, but lava flows are uncertain. One estimate of the total death toll reached 18,000. Hamilton reported men and beasts struck dead by lightning. 30 cm tephra in Naples.","Distance based on knowledge of eruption. PFs/lavas all within 10 km of crater, constrained to the south by Somma caldera. Google Earth flag is in Torre del Greco where flows did pass, other towns also affected.",>4000,4000,PDCs,Residents,,,2,QL 2,,10.0,<10,,"[Barberi, 1989 (294)]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13335,3,1682,,1682,1600s,13335-1.1,1.1,"One incident, different distances","One fatality in Torre Annunziata, 3 in Castellammare during Aug 12-22 eruption.","Distance taken as centre of town. Centre approx 7.8km, Min 6.6 - max 10.5km.",,1,Eruption (unknown element),,,,3,QL 1,7.8,,,,"[SCANDONE, 1993 (16)]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13335,3,1682,,1682,1600s,13335-1.2,1.2,"One incident, different distances","One fatality in Torre Annunziata, 3 in Castellammare during Aug 12-22 eruption.",Distance taken as centre of town. Approx min distance 13.8 - max 15km,,3,Eruption (unknown element),,,,4,QL 1,14.7,,,,"[SCANDONE, 1993 (16)]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13349,3,1783,,1783,1700s,13349-1.0,1.0,Multiple incidents separated due to different fatal cause,"60 fatalities at Torre del Greco, with 80% of the town destroyed by lava flows. Several people died from CO2. Sapper reported 26 killed, possibly by lava flows. Hoffer described 15 deaths by lava flows and explosions when the lava reached the bay. Scandone et al. reported a total of 400 fatalities, and complete destruction (by mudflows and ashfall?) of S. Guiseppe, Ottaviano, and Somma.",Distance taken as centre of Torre del Greco. Approx min distance 4km - max 6.5km,?60,60,Lava flows,Residents,,,5,QL 1,6.1,,,,
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13349,3,1783,,1783,1700s,13349-2.0,2.0,Multiple incidents separated due to different fatal cause,"60 fatalities at Torre del Greco, with 80% of the town destroyed by lava flows. Several people died from CO2. Sapper reported 26 killed, possibly by lava flows. Hoffer described 15 deaths by lava flows and explosions when the lava reached the bay. Scandone et al. reported a total of 400 fatalities, and complete destruction (by mudflows and ashfall?) of S. Guiseppe, Ottaviano, and Somma.","Distance taken as centre of cities of Somma Vesuviana, Ottaviano, San Giuseppe Vesuviano. Approx min distance 5- max 7 km",?400,400,Tephra,,,,"6-1, 6-2, 6-3",QL 1,6.0,,,,
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13358,3,1870,,1870,1800s,13358-1.0,1.0,One incident,"Young people in Valle del Inferno failed to notice retreat cut off by lava which trapped them between precipice of Monte Somma and active flow. Nazzaro reported 9 killed and 11 injured, plus some fatalities from CO2.",Distance taken as centre of Valle del Inferno. Approx min distance 1.3 - max 1.8km,,9,Lava flows,(tour) Tourists,Yes - tourist group,Outside,7,QL 2,,2.0,<2,,
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13358,3,1870,1872,1872,1800s,13358-2.0,2.0,Multiple incidents separated due to different fatal cause,Spring 1873. Date probably mistaken for 1872 (Vesuvius not in eruption in 1873) but Fisher reported that 2 tourists fell while fleeing a slight eruption at the summit and were covered with lava; 7 others died of suffocation.,Distance based on description of summit,,2,Lava flows,(tour) Tourists,,Outside,8,QL 2,,1.0,<1,,
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13358,3,1870,1872,1872,1800s,13358-3.0,3.0,Multiple incidents separated due to different fatal cause,Spring 1873. Date probably mistaken for 1872 (Vesuvius not in eruption in 1873) but Fisher reported that 2 tourists fell while fleeing a slight eruption at the summit and were covered with lava; 7 others died of suffocation.,Uncertain location. Possibly also on cone? ,,7,Tephra,,,,,QL 3,,,,,
