id,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,x_coordinate,y_coordinate
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_230b,213002,Hasandag-Keciboyduran Volcanic Complex,13897,Uncertain Eruption,,,,,,,-7550,50.0,,0.0,0.0,,,,,,,,,34.17,38.13
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_230c,213002,Hasandag-Keciboyduran Volcanic Complex,13898,Uncertain Eruption,,,,,,,-6750,50.0,,0.0,0.0,,,,,,,,,34.17,38.13
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_230d,213004,Nevsehir-Acigol Volcanic Complex,13900,Uncertain Eruption,,,,Tephra layer T10,Isotopic: 14C (uncalibrated),?,-7810,,,0.0,0.0,,,,,,,,,34.621,38.537
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_230e,213004,Nevsehir-Acigol Volcanic Complex,13901,Uncertain Eruption,,,,Tephra layer T13,Isotopic: 14C (uncalibrated),?,-6230,,,0.0,0.0,,,,,,,,,34.621,38.537
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_230f,213004,Nevsehir-Acigol Volcanic Complex,13902,Uncertain Eruption,,,,Tephra layer T15,Isotopic: 14C (uncalibrated),?,-3500,,,0.0,0.0,,,,,,,,,34.621,38.537
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2310,213004,Nevsehir-Acigol Volcanic Complex,13903,Uncertain Eruption,,,,Tephra layer T17,Isotopic: 14C (uncalibrated),,-2370,200.0,,0.0,0.0,,,,,,,,,34.621,38.537
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2311,213004,Nevsehir-Acigol Volcanic Complex,13904,Uncertain Eruption,,,,,Correlation: Anthropology,,-2080,200.0,,0.0,0.0,,,,,,,,,34.621,38.537
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2312,213010,Erciyes Volcanic Complex,13905,Confirmed Eruption,,,,,Isotopic: 14C (calibrated),,-6880,40.0,,0.0,0.0,,,,,,,,,35.447,38.531
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2313,213010,Erciyes Volcanic Complex,13906,Uncertain Eruption,,,,,,<,253,,,0.0,0.0,,,,,,,,,35.447,38.531
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2314,233005,Mayotte,14169,Confirmed Eruption,,,,,Correlation: Tephrochronology,,-4050,500.0,,0.0,0.0,,,,,,,,,45.17,-12.83
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2315,233005,Mayotte,14170,Confirmed Eruption,,,,,Correlation: Tephrochronology,,-3550,500.0,,0.0,0.0,,,,,,,,,45.17,-12.83
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2316,233005,Mayotte,14171,Confirmed Eruption,,,,,Correlation: Tephrochronology,,-2050,500.0,,0.0,0.0,,,,,,,,,45.17,-12.83
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2317,233014,Itasy Volcanic Field,14172,Uncertain Eruption,,,,,Isotopic: 14C (calibrated),,-8301,139.0,,,,,,,,,,,,46.6444,-19.0306
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2318,233014,Itasy Volcanic Field,14173,Uncertain Eruption,,,,,Isotopic: 14C (uncalibrated),<,-6050,,,0.0,0.0,,,,,,,,,46.6444,-19.0306
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_2319,233014,Itasy Volcanic Field,22619,Uncertain Eruption,,,,,Isotopic: 14C (uncalibrated),,-6555,90.0,,,,,,,,,,,,46.6444,-19.0306
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_231a,233010,Karthala,14174,Confirmed Eruption,,,,,Observations: Reported,,1050,150.0,,0.0,0.0,,,,,,,,,43.3639,-11.7658
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_231b,233010,Karthala,14175,Confirmed Eruption,,,,,Observations: Reported,,1808,,,0.0,0.0,,,,,,,,,43.3639,-11.7658
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_231c,233010,Karthala,14176,Confirmed Eruption,,,,,Observations: Reported,,1814,,,12.0,31.0,365.0,,,,,,,,43.3639,-11.7658
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_231d,233010,Karthala,14177,Confirmed Eruption,,,,,Observations: Reported,,1821,,,12.0,31.0,365.0,,,,,,,,43.3639,-11.7658
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_231e,233010,Karthala,14178,Confirmed Eruption,2.0,?,,,Observations: Reported,,1828,,,5.0,0.0,,,,,,,,,43.3639,-11.7658
