gid,geom,pop,volcano_id,source,buffer_km
30034738,POINT (125.55416544445 3.754166987649988),91,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30034739,POINT (125.56249877775004 3.754166987649988),161,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052998,POINT (125.54583211115002 3.679166987949991),267,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052997,POINT (125.53749877785003 3.6791669879499906),376,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052993,POINT (125.50416544465003 3.6791669879499906),112,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052994,POINT (125.51249877795001 3.679166987949991),401,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052996,POINT (125.52916544455 3.6791669879499906),247,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052995,POINT (125.52083211124999 3.6791669879499906),446,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052990,POINT (125.40416544505001 3.6791669879499906),323,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052989,POINT (125.39583211175002 3.679166987949991),17,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30052992,POINT (125.49583211135001 3.6791669879499906),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055078,POINT (125.49583211135001 3.670833654649989),88,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055077,POINT (125.48749877805002 3.670833654649989),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055076,POINT (125.47916544475005 3.670833654649989),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055074,POINT (125.40416544505001 3.670833654649989),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055075,POINT (125.42083211165001 3.670833654649989),5,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055258,POINT (125.41249877835004 3.6666669879999887),4,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057107,POINT (125.40416544505001 3.6625003213499876),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057108,POINT (125.42083211165001 3.6625003213499885),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057109,POINT (125.48749877805002 3.6625003213499885),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057110,POINT (125.49583211135001 3.6625003213499876),57,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057118,POINT (125.56249877775004 3.6625003213499876),7,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057112,POINT (125.51249877795001 3.6625003213499885),597,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057111,POINT (125.50416544465003 3.6625003213499876),46,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057114,POINT (125.52916544455 3.6625003213499876),342,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057113,POINT (125.52083211124999 3.6625003213499876),61,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057115,POINT (125.53749877785003 3.6625003213499876),147,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057116,POINT (125.54583211115002 3.6625003213499885),96,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30057117,POINT (125.55416544445 3.6625003213499876),716,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055082,POINT (125.52916544455 3.670833654649989),654,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055081,POINT (125.52083211124999 3.670833654649989),453,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055080,POINT (125.51249877795001 3.670833654649989),210,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055079,POINT (125.50416544465003 3.670833654649989),75,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055085,POINT (125.55416544445 3.670833654649989),282,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055084,POINT (125.54583211115002 3.670833654649989),503,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30055083,POINT (125.53749877785003 3.670833654649989),24,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059119,POINT (125.55416544445 3.654166988049994),120,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059118,POINT (125.54583211115003 3.654166988049994),495,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059117,POINT (125.53749877785002 3.654166988049994),136,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059116,POINT (125.52916544455002 3.654166988049994),312,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059115,POINT (125.52083211125002 3.654166988049994),114,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059114,POINT (125.51249877795 3.654166988049994),78,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059113,POINT (125.50416544465003 3.654166988049994),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
