volcano_id,centers_affected
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-27a,405
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-28d,226
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-29a,245
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-2b1,2346
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-2e4,2620
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-2e7,2391
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4bf,2577
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4c4,2235
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4c8,2862
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4d9,588
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4db,679
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4df,150
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4e4,2070
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4e5,2119
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4f0,473
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4f2,719
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4f4,971
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-4fe,203
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-506,2324
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-50a,2489
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-510,3119
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-52a,1178
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-52b,1566
Smithsonian_VOTW_Holocene_Volcanoes.fid--766d72af_19b3c61ff2e_-52d,2264
