Name,Country,Volcanic Region,Last Known Activity,observatory_level,aviation_level,date
Aira,Japan,Ryukyu Volcanic Arc,2017 Mar 25 - 2025 Sep 19 (continuing),Level 3 - Restriction on proximity to the volcano,unavailable or not collected Source,2025-11-24
Bezymianny,Russia,Eastern Kamchatka Volcanic Arc,2024 Dec 24 - 2025 Sep 19 (continuing),Orange,Orange,2025-11-24
Dukono,Indonesia,Halmahera Volcanic Arc,1933 Aug 13 - 2025 Sep 19 (continuing),Level 2 - Alert,unavailable or not collected Source,2025-11-24
Great Sitkin,United States,Aleutian Ridge Volcanic Arc,2021 May 25 - 2025 Sep 19 (continuing),Watch,Orange,2025-11-24
Hayli Gubbi,Ethiopia,Afar Rift Volcanic Province,6250 BCE (in or after),unavailable or not collected,expand,2025-11-24
Ibu,Indonesia,Halmahera Volcanic Arc,2008 Apr 5 - 2025 Sep 19 (continuing),Level 2 - Alert,unavailable or not collected Source,2025-11-24
Kīlauea,United States,Hawaiian-Emperor Hotspot Volcano Group,2024 Dec 23 - 2025 Sep 19 (continuing),Watch,Orange,2025-11-24
Kanlaon,Philippines,Negros-Sulu Volcanic Arc,2024 Oct 19 - 2025 Sep 19 (continuing),2 - Moderate Level of Volcanic Unrest,unavailable or not collected Source,2025-11-24
Karangetang,Indonesia,Sangihe Volcanic Arc,2023 Feb 8 - 2023 Sep 5,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Krasheninnikov,Russia,Eastern Kamchatka Volcanic Arc,2025 Aug 2 - 2025 Sep 19 (continuing),Yellow,Orange,2025-11-24
Lewotobi,Indonesia,Sunda Volcanic Arc,2023 Dec 23 - 2025 Sep 19 (continuing),Level 4 - Caution,unavailable or not collected Source,2025-11-24
Lewotolok,Indonesia,Sunda Volcanic Arc,2025 Jan 16 - 2025 Sep 19 (continuing),Level 2 - Alert,unavailable or not collected Source,2025-11-24
Marapi,Indonesia,Sunda Volcanic Arc,2023 Dec 3 - 2025 Sep 19 (continuing),Level 2 - Alert,unavailable or not collected Source,2025-11-24
Merapi,Indonesia,Sunda Volcanic Arc,2020 Dec 31 - 2025 Sep 19 (continuing),Level 3 - Standby,unavailable or not collected Source,2025-11-24
Nevado del Ruiz,Colombia,Northern Andean Volcanic Arc,2014 Nov 18 - 2025 Sep 19 (continuing),Yellow,unavailable or not collected Source,2025-11-24
Popocatépetl,Mexico,Trans-Mexican Volcanic Arc,2005 Jan 9 - 2025 Sep 19 (continuing),Yellow Alert - Phase 2,unavailable or not collected Source,2025-11-24
Poás,Costa Rica,Central America Volcanic Arc,2025 Jan 5 - 2025 Sep 19 (continuing),Level 2 - Warning,Yellow,2025-11-24
Raung,Indonesia,Sunda Volcanic Arc,2025 Mar 13 - 2025 Sep 19 (continuing),Level 2 - Alert,unavailable or not collected Source,2025-11-24
Reventador,Ecuador,Northern Andean Volcanic Arc,2008 Jul 27 - 2025 Sep 19 (continuing),3 - Orange,unavailable or not collected Source,2025-11-24
Sabancaya,Peru,Central Andean Volcanic Arc,2025 Sep 13 - 2025 Sep 19 (continuing),Orange,unavailable or not collected Source,2025-11-24
Sangay,Ecuador,Northern Andean Volcanic Arc,2019 Mar 26 - 2025 Sep 19 (continuing),2 - Yellow,unavailable or not collected Source,2025-11-24
Semeru,Indonesia,Sunda Volcanic Arc,2019 Feb 24 - 2025 Sep 19 (continuing),Level 4 - Caution,unavailable or not collected Source,2025-11-24
Sheveluch,Russia,Eastern Kamchatka Volcanic Arc,1999 Aug 15 - 2025 Sep 19 (continuing),Yellow,Orange,2025-11-24
Stromboli,Italy,Aeolian Volcanic Arc,1934 Feb 2 - 2025 Sep 19 (continuing),Yellow,Orange,2025-11-24
Suwanosejima,Japan,Ryukyu Volcanic Arc,2004 Oct 23 - 2025 Sep 19 (continuing),Level 2 - Restriction on proximity to the crater,unavailable or not collected Source,2025-11-24
Taal,Philippines,Luzon Volcanic Arc,2024 Apr 12 - 2025 Sep 19 (continuing),1 - Low-Level Unrest,unavailable or not collected Source,2025-11-24
Whakaari/White Island,New Zealand,Taupo Volcanic Arc,2025 Aug 28 - 2025 Aug 28,3 - Minor volcanic eruption,Orange,2025-11-24
