Name,Country,Volcanic Region,Last Known Activity,observatory_level,aviation_level,date
Asamayama,Japan,Northeast Japan Volcanic Arc,2019 Aug 7 - 2019 Aug 25,Level 2 - Restriction on proximity to the crater,unavailable or not collected Source,2025-11-24
Awu,Indonesia,Sangihe Volcanic Arc,2004 Jun 2 (on or before) - 2004 Aug 16 (?) ± 15 days,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Dempo,Indonesia,Sunda Volcanic Arc,2025 Aug 7 - 2025 Aug 29,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Kerinci,Indonesia,Sunda Volcanic Arc,2024 May 28 - 2024 May 28,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Kusatsu-Shiranesan,Japan,Northeast Japan Volcanic Arc,2018 Jan 23 - 2018 Jan 23,Level 2 - Restriction on proximity to the crater,unavailable or not collected Source,2025-11-24
Lokon-Empung,Indonesia,Sangihe Volcanic Arc,2015 Aug 30 - 2015 Sep 28 ± 1 days,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Puracé,Colombia,Northern Andean Volcanic Arc,2025 Jan 19 - 2025 Feb 21,Yellow,unavailable or not collected Source,2025-11-24
Rincón de la Vieja,Costa Rica,Central America Volcanic Arc,2021 Jun 28 - 2024 Oct 22,Level 2 - Warning,Yellow,2025-11-24
Sangeang Api,Indonesia,Sunda Volcanic Arc,2022 Feb 17 - 2022 Feb 17,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Shishaldin,United States,Aleutian Ridge Volcanic Arc,2023 Jul 11 ± 1 days - 2023 Nov 3,Advisory,Yellow,2025-11-24
Soputan,Indonesia,Sangihe Volcanic Arc,2020 Mar 23 - 2020 Apr 2,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Tengger Caldera,Indonesia,Sunda Volcanic Arc,2023 Dec 13 - 2023 Dec 13,Level 2 - Alert,unavailable or not collected Source,2025-11-24
Terceira,Portugal,Azores-Terceira Rift Volcanic Province,1998 Nov 25 (?) - 2000 Mar 16 (?) ± 15 days,V3,unavailable or not collected Source,2025-11-24
Terceira,Portugal,Azores-Terceira Rift Volcanic Province,1998 Nov 25 (?) - 2000 Mar 16 (?) ± 15 days,V3,unavailable or not collected Source,2025-11-24
Terceira,Portugal,Azores-Terceira Rift Volcanic Province,1998 Nov 25 (?) - 2000 Mar 16 (?) ± 15 days,V3,unavailable or not collected Source,2025-11-24
Terceira,Portugal,Azores-Terceira Rift Volcanic Province,1998 Nov 25 (?) - 2000 Mar 16 (?) ± 15 days,V3,unavailable or not collected Source,2025-11-24
Turrialba,Costa Rica,Central America Volcanic Arc,2022 Jul 17 - 2022 Jul 17,Level 2 - Warning,unavailable or not collected Source,2025-11-24
